venue_name,event_type,expected_attendance,temperature,humidity,rainfall,transport_delay_score,road_congestion_score,crowd_density_score,hospital_distance_km,police_station_distance_km,accessibility_score,social_media_risk_score,final_crisis_risk_score,risk_level,recommended_action
Queensland Tennis Centre,Basketball,5860,21.67,77.88,17.91,82,86,74,7.16,3.67,79,23,91.78,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Tennis,69820,37.4,80.78,6.37,63,59,20,9.45,6.31,100,88,100.82,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Swimming,30658,26.0,37.57,29.21,14,61,61,11.89,2.4,94,63,81.92,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,74092,30.15,44.38,1.95,3,88,59,8.67,4.16,65,52,85.69,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,28483,20.44,62.23,1.03,77,80,35,3.14,7.68,45,53,78.17,High,"Deploy additional transport, security, and medical support."
The Gabba,Basketball,45757,18.63,81.33,13.49,73,61,99,9.17,9.26,47,77,103.66,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,6016,37.22,81.45,22.42,52,23,25,14.5,6.27,84,40,96.33,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Paralympic Event,66228,19.49,89.28,23.17,7,87,62,12.32,7.22,74,34,82.91,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Swimming,43660,36.53,70.81,27.45,72,71,11,5.3,1.1,62,61,93.16,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,68335,23.49,65.87,11.49,46,77,2,11.53,5.83,53,26,75.21,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Paralympic Event,28419,20.16,36.73,19.09,51,95,3,13.66,2.87,84,14,69.09,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Cycling,38827,36.86,67.94,20.84,27,65,41,12.22,6.52,45,27,97.7,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Basketball,74163,26.33,83.58,9.73,91,88,61,2.1,2.67,96,76,95.73,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Swimming,63053,28.21,57.96,6.66,50,43,23,14.17,3.57,71,87,91.95,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Basketball,59384,19.3,48.97,7.41,38,1,2,4.86,3.21,56,58,49.15,Low,Continue normal monitoring.
Suncorp Stadium,Athletics,5854,23.57,84.95,7.19,1,52,43,6.99,5.75,94,67,70.91,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Swimming,17688,32.56,55.23,18.97,69,85,10,12.34,8.08,48,58,98.82,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Closing Ceremony,20708,35.17,52.93,6.61,89,66,18,5.56,1.41,80,32,87.48,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,16111,20.75,53.76,3.4,22,30,93,10.59,2.67,55,89,88.85,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Opening Ceremony,21371,28.59,48.3,2.79,11,68,36,13.3,2.29,80,98,89.6,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,56407,35.94,83.79,23.4,23,74,71,11.89,6.86,74,88,112.78,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Opening Ceremony,73497,21.22,65.18,20.76,79,60,40,3.05,0.67,53,20,72.32,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Basketball,63871,30.99,81.71,19.73,32,47,75,7.88,6.55,61,29,91.71,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Tennis,8436,27.73,84.84,13.03,20,29,96,8.87,5.18,44,60,96.26,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Swimming,61835,18.49,70.5,5.31,91,29,92,4.55,8.89,99,36,80.64,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Cycling,5301,37.33,88.0,25.59,62,84,31,12.84,3.51,57,24,107.91,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Paralympic Event,28093,31.92,66.35,2.92,31,46,85,5.7,2.91,81,1,83.21,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,32751,31.94,73.64,10.78,92,41,25,12.25,8.74,52,59,102.2,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Paralympic Event,75316,21.89,38.9,11.9,13,75,86,0.9,6.0,71,86,74.6,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Tennis,57921,28.85,50.76,17.72,85,48,51,1.06,3.38,82,59,81.42,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,24508,23.43,88.09,13.72,5,95,93,8.34,6.56,91,15,85.49,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,22019,32.29,37.26,11.96,18,91,57,1.64,0.74,92,61,78.25,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Paralympic Event,79740,19.16,85.34,13.27,95,47,88,10.07,3.16,55,60,102.45,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Closing Ceremony,14662,26.71,75.15,1.43,25,15,50,11.49,0.64,53,91,88.66,High,"Deploy additional transport, security, and medical support."
Victoria Park,Paralympic Event,83832,24.23,88.87,5.26,15,89,89,7.63,5.0,72,93,99.2,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Paralympic Event,28049,36.98,83.77,7.83,9,18,57,7.77,5.62,84,3,79.4,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,62679,30.85,36.46,17.57,90,83,23,10.32,5.95,72,32,91.77,High,"Deploy additional transport, security, and medical support."
Victoria Park,Swimming,43304,31.03,46.37,8.22,11,94,45,0.76,1.4,74,86,78.38,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Athletics,30351,25.71,72.49,10.22,6,67,57,10.6,6.47,68,35,81.58,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,49425,26.47,66.27,17.28,98,35,81,4.13,6.02,62,61,95.95,Critical,Activate emergency response plan and redirect crowd movement.
RNA Showgrounds,Cycling,49811,26.58,76.3,22.64,29,16,61,7.7,4.2,52,58,81.84,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Opening Ceremony,84459,18.22,84.8,2.74,70,27,77,10.31,5.08,97,15,79.9,High,"Deploy additional transport, security, and medical support."
Victoria Park,Cycling,16130,22.25,87.04,23.44,38,52,41,14.63,9.96,97,4,78.25,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Paralympic Event,79460,25.02,41.44,4.29,73,57,16,1.97,1.3,52,39,66.99,Medium,Increase monitoring and prepare support teams.
The Gabba,Opening Ceremony,24065,20.93,63.23,7.0,7,64,85,12.29,9.5,64,44,85.49,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,40909,32.16,61.49,11.34,38,90,73,13.64,1.56,42,44,110.03,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Athletics,14435,29.43,75.75,23.02,38,0,2,8.96,9.64,99,24,61.92,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Opening Ceremony,72641,18.24,88.34,1.29,20,79,84,14.9,1.2,74,18,89.64,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Opening Ceremony,76726,30.59,73.27,13.64,53,2,15,11.19,9.19,49,95,88.48,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Closing Ceremony,28959,30.4,50.26,5.64,89,7,57,3.83,3.03,76,40,81.26,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Closing Ceremony,52605,18.65,50.39,12.34,76,91,28,2.43,1.22,45,81,77.08,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Closing Ceremony,75340,30.27,58.0,27.98,4,32,64,7.47,9.86,50,84,85.43,High,"Deploy additional transport, security, and medical support."
The Gabba,Paralympic Event,67680,37.4,81.32,25.15,97,98,0,0.7,1.22,67,80,97.53,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Paralympic Event,14860,37.93,65.55,23.07,36,73,73,5.98,2.79,48,0,95.92,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Cycling,22100,22.14,83.3,22.71,33,91,94,2.15,6.88,73,53,86.69,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,37049,35.04,65.35,16.83,93,56,16,2.44,0.77,54,100,96.11,Critical,Activate emergency response plan and redirect crowd movement.
Victoria Park,Tennis,42441,34.1,84.67,18.52,97,37,49,9.05,4.23,66,50,105.3,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Athletics,58413,27.02,85.08,8.94,50,80,4,12.05,4.86,56,73,91.61,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Basketball,60123,27.18,88.9,14.78,76,42,74,1.6,1.72,94,79,90.8,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Swimming,16637,31.95,44.9,20.9,24,66,95,7.37,6.84,89,60,94.68,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,28954,34.44,53.98,10.43,21,20,69,2.25,4.88,65,45,77.5,High,"Deploy additional transport, security, and medical support."
The Gabba,Opening Ceremony,28624,19.85,61.46,20.63,55,93,62,5.97,0.52,75,0,74.94,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Opening Ceremony,84714,21.69,46.51,11.11,85,13,89,11.52,5.55,41,25,91.13,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,10126,31.74,81.44,22.49,17,37,98,6.26,1.5,94,100,98.74,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Athletics,6062,24.44,46.63,9.82,43,24,16,5.47,5.0,49,66,65.73,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Cycling,31734,29.68,75.53,16.73,39,82,41,4.61,3.95,65,63,87.16,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,80703,27.96,53.17,28.01,52,21,20,2.72,2.84,43,93,73.81,Medium,Increase monitoring and prepare support teams.
Brisbane Convention Centre,Tennis,81125,21.47,84.32,2.41,30,39,100,14.74,1.56,41,83,105.72,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Swimming,5117,23.16,44.4,20.06,56,65,78,8.26,5.03,84,43,85.34,High,"Deploy additional transport, security, and medical support."
Victoria Park,Tennis,35105,24.47,58.4,15.23,11,46,0,9.35,3.24,76,10,55.15,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Basketball,52362,19.04,53.51,4.03,22,9,43,3.43,7.0,59,64,56.22,Medium,Increase monitoring and prepare support teams.
Queensland Tennis Centre,Cycling,24216,20.33,61.02,18.18,34,93,94,13.98,8.39,83,49,97.82,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,13567,37.82,46.28,11.38,0,39,63,8.83,8.5,47,10,83.97,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Cycling,35523,21.27,44.03,24.44,77,25,61,5.7,8.83,64,17,71.23,Medium,Increase monitoring and prepare support teams.
RNA Showgrounds,Closing Ceremony,80046,32.28,84.48,18.72,96,22,62,7.79,2.71,72,65,103.64,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,41455,22.58,64.86,12.95,66,6,50,5.36,1.82,54,28,70.27,Medium,Increase monitoring and prepare support teams.
Suncorp Stadium,Basketball,30053,35.88,78.37,4.55,96,100,26,11.29,0.82,61,65,116.1,Critical,Activate emergency response plan and redirect crowd movement.
The Gabba,Cycling,48872,20.06,64.51,11.36,87,51,55,7.78,5.63,68,46,84.32,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,8756,32.4,70.26,20.82,35,25,42,9.19,8.35,49,37,85.1,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Closing Ceremony,60318,27.24,87.1,4.6,12,61,81,9.37,0.67,99,42,88.01,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Basketball,42219,36.38,78.45,0.69,91,30,8,6.65,7.5,79,40,88.2,High,"Deploy additional transport, security, and medical support."
Brisbane Entertainment Centre,Swimming,18718,20.46,47.97,4.97,35,53,86,13.85,8.76,94,39,85.42,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Cycling,16694,19.1,53.44,24.09,25,40,34,6.27,5.61,50,37,60.39,Medium,Increase monitoring and prepare support teams.
The Gabba,Paralympic Event,13666,32.75,59.87,6.74,50,53,23,8.88,2.07,92,87,89.15,High,"Deploy additional transport, security, and medical support."
Suncorp Stadium,Opening Ceremony,42148,29.61,69.77,0.39,84,48,70,14.65,4.86,59,85,116.32,Critical,Activate emergency response plan and redirect crowd movement.
South Bank Parklands,Paralympic Event,80452,21.69,51.48,9.3,93,86,50,3.54,9.03,71,29,80.31,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,47460,27.44,66.07,1.97,77,46,65,8.25,5.07,69,37,92.41,High,"Deploy additional transport, security, and medical support."
Brisbane Convention Centre,Paralympic Event,70155,21.64,82.4,28.38,31,9,73,13.51,5.5,72,86,90.09,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Basketball,31399,32.32,71.24,0.81,66,87,86,10.24,0.69,93,100,118.28,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Convention Centre,Swimming,29160,29.13,74.64,24.16,87,77,31,12.91,8.39,43,36,103.32,Critical,Activate emergency response plan and redirect crowd movement.
Brisbane Entertainment Centre,Cycling,71358,35.93,35.72,2.57,22,84,18,2.28,8.83,68,59,75.44,High,"Deploy additional transport, security, and medical support."
The Gabba,Athletics,47880,34.35,53.8,7.78,1,66,86,1.0,8.39,76,37,80.34,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Tennis,67516,23.89,87.16,22.91,23,80,73,8.7,9.86,62,95,97.69,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Athletics,40954,28.25,75.79,20.97,24,72,21,12.61,9.85,97,28,79.53,High,"Deploy additional transport, security, and medical support."
Victoria Park,Athletics,79532,18.37,85.29,3.53,99,40,37,1.47,4.35,77,75,75.64,High,"Deploy additional transport, security, and medical support."
Queensland Tennis Centre,Cycling,45809,20.8,49.5,7.99,90,39,97,9.21,6.82,46,9,91.05,High,"Deploy additional transport, security, and medical support."
Victoria Park,Opening Ceremony,40737,26.09,77.4,12.66,1,53,64,1.7,6.23,65,28,67.32,Medium,Increase monitoring and prepare support teams.
Victoria Park,Swimming,77355,32.38,51.34,16.99,97,54,23,14.08,7.46,72,35,98.98,Critical,Activate emergency response plan and redirect crowd movement.
Queensland Tennis Centre,Basketball,72298,34.83,81.55,28.66,97,72,25,7.38,3.77,79,16,96.05,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Opening Ceremony,5060,31.77,58.92,7.39,2,100,43,14.53,0.55,51,18,92.51,High,"Deploy additional transport, security, and medical support."
Victoria Park,Basketball,74626,37.24,78.45,20.72,46,11,61,14.39,7.7,70,20,100.14,Critical,Activate emergency response plan and redirect crowd movement.
Suncorp Stadium,Paralympic Event,59756,31.85,81.71,7.49,88,11,14,10.55,0.99,65,46,89.45,High,"Deploy additional transport, security, and medical support."
RNA Showgrounds,Athletics,34711,36.5,44.93,17.04,6,13,78,10.61,3.32,87,71,91.05,High,"Deploy additional transport, security, and medical support."
The Gabba,Swimming,11737,32.9,38.02,13.65,58,16,13,9.15,2.69,99,44,72.86,Medium,Increase monitoring and prepare support teams.
The Gabba,Swimming,7983,26.82,57.25,17.17,3,92,85,5.12,6.45,55,41,84.75,High,"Deploy additional transport, security, and medical support."
South Bank Parklands,Tennis,79038,27.24,89.47,0.01,12,12,17,14.12,8.09,78,45,74.69,Medium,Increase monitoring and prepare support teams.
South Bank Parklands,Cycling,34629,19.77,37.07,14.39,15,55,9,1.83,3.7,59,4,40.23,Low,Continue normal monitoring.
